ID;Domain;TopDomain;cname;ip
10221;ch.transco.eu;transco.eu;ch.transco.eu;129.143.40.61
5154;bimaq.eu;bimaq.eu;bimaq.eu;134.102.10.129
59769;austrom.eu;austrom.eu;austrom.eu;193.186.185.72
74416;anderquelle.eu;anderquelle.eu;anderquelle.eu;193.25.115.91
15183;cartoflex.eu;cartoflex.eu;cartoflex.eu;194.145.226.45
25323;credits.astro-consult.eu;astro-consult.eu;credits.astro-consult.eu;195.14.31.4
39802;arbostore.eu;arbostore.eu;arbostore.eu;195.20.9.59
59724;arcopedico.und-mehr.eu;und-mehr.eu;arcopedico.und-mehr.eu;195.42.120.35
45131;c-k-b.eu;c-k-b.eu;c-k-b.eu;195.47.247.168
423;by-number.eu;by-number.eu;by-number.eu;195.69.130.226
40228;ctm-mailer.eu;ctm-mailer.eu;ctm-mailer.eu;195.78.76.178
9909;asia-sport-akademie.eu;asia-sport-akademie.eu;asia-sport-akademie.eu;195.93.200.6
79433;asia-sport.eu;asia-sport.eu;asia-sport.eu;195.93.200.6
50083;caecilia.eu;caecilia.eu;caecilia.eu;195.93.201.12
50083;caecilia.eu;caecilia.eu;caecilia.eu;195.93.201.12
50083;caecilia.eu;caecilia.eu;caecilia.eu;195.93.201.12
89769;chanoyu.eu;chanoyu.eu;chanoyu.eu;208.109.181.15
69617;ansichtskarten-auktionen.eu;ansichtskarten-auktionen.eu;ansichtskarten-auktionen.eu;212.112.231.85
45231;clear-aligner.eu;clear-aligner.eu;clear-aligner.eu;212.16.252.140
19948;atelier-oriental.eu;atelier-oriental.eu;atelier-oriental.eu;212.227.119.204
29632;100plus11.drk-friedberg.eu;drk-friedberg.eu;100plus11.drk-friedberg.eu;212.227.124.45
79362;allemachtdemvolk.eu;allemachtdemvolk.eu;allemachtdemvolk.eu;212.227.33.217
39809;argus-security.eu;argus-security.eu;argus-security.eu;212.227.33.63
89390;adult-gbja.startspot.eu;startspot.eu;adult-gbja.startspot.eu;212.61.65.40
59800;badgeheimen.startspot.eu;startspot.eu;badgeheimen.startspot.eu;212.61.65.40
5208;boven-de-18.startspot.eu;startspot.eu;boven-de-18.startspot.eu;212.61.65.40
74890;cupff.startspot.eu;startspot.eu;cupff.startspot.eu;212.61.65.40
29841;artzt.eu;artzt.eu;artzt.eu;212.79.162.35
59839;behrenrevier.eu;behrenrevier.eu;behrenrevier.eu;213.165.79.171
25002;beauty-4u.eu;beauty-4u.eu;beauty-4u.eu;213.203.210.253
386;breslmayr.eu;breslmayr.eu;breslmayr.eu;216.71.178.125
20275;cn-s.eu;cn-s.eu;cn-s.eu;217.67.26.49
20305;convent.eu;convent.eu;convent.eu;217.79.218.26
40240;cwa-bund.forumieren.eu;forumieren.eu;q59.dnspro.org.;74.86.112.146
40240;cwa-bund.forumieren.eu;forumieren.eu;q59.dnspro.org.;74.86.112.146
15094;bobetransporte.forumieren.eu;forumieren.eu;q59.dnspro.org.;74.86.112.146 
50227;creep.forumieren.eu;forumieren.eu;q59.dnspro.org.;74.86.112.146 
9905;asecglobal.eu;asecglobal.eu;asecglobal.eu;78.47.36.116
277;beercoaster.misi.eu;misi.eu;beercoaster.misi.eu;79.172.211.61
35093;charlie-parker.eu;charlie-parker.eu;charlie-parker.eu;80.190.243.188
506;cicable.eu;cicable.eu;cicable.eu;80.237.132.103
5073;backview.eu;backview.eu;backview.eu;80.237.132.117
89698;buschhausen.eu;buschhausen.eu;buschhausen.eu;80.237.132.18
5112;bekleidungs-boutique.eu;bekleidungs-boutique.eu;bekleidungs-boutique.eu;80.244.242.163
69469;1-euro-domains.eu;1-euro-domains.eu;1-euro-domains.eu;80.64.129.155
60130;creativbasteln.eu;creativbasteln.eu;creativbasteln.eu;80.67.17.179
15053;bkk-aktiv.eu;bkk-aktiv.eu;bkk-aktiv.eu;80.67.26.149
15326;css-webdesign.eu;css-webdesign.eu;css-webdesign.eu;80.67.28.25
74749;ccacademy.eu;ccacademy.eu;ccacademy.eu;80.67.28.64
94923;cms-media.eu;cms-media.eu;cms-media.eu;80.67.30.2
79840;cygielman.eu;cygielman.eu;cygielman.eu;81.169.132.146
20103;blog.fuereinander-miteinander.eu;fuereinander-miteinander.eu;blog.fuereinander-miteinander.eu;81.169.135.47
14897;artwealth.eu;artwealth.eu;artwealth.eu;81.169.145.66
89530;awa-infra-sun.eu;awa-infra-sun.eu;awa-infra-sun.eu;81.169.145.68
59994;cannabis-nachrichten.eu;cannabis-nachrichten.eu;cannabis-nachrichten.eu;81.169.145.68
69676;audiotechnologie.eu;audiotechnologie.eu;audiotechnologie.eu;81.169.145.69
59904;blog.benjam.eu;benjam.eu;blog.benjam.eu;81.169.145.69
79605;bob-art.eu;bob-art.eu;bob-art.eu;81.169.145.69
25298;concordare.eu;concordare.eu;concordare.eu;81.169.145.69
34915;bigbuddy.eu;bigbuddy.eu;bigbuddy.eu;81.169.145.70
20092;bjornweb.eu;bjornweb.eu;bjornweb.eu;81.169.145.70
