ID;UserID;Date;Hosting Type;Language;Adult Content;Other Problem;Web Spam;News/Editorial;Commercial;Educational/Research;Discussion;Personal/Leisure;Media;Database;Readability-Vis;Readability-Lang;Neutrality;Bias;Trustiness;Confidence;auto_lang
33141;8;31-MAR-10 14:52:38;;mixed;;;;;;;;;;;;;;;;;en
2196;8;06-APR-10 14:26:55;;;;OtherProblem;;;;;;;;;;;;;;;en
3225;14;22-APR-10 12:36:41;;unknown;;;;;;;;;;;;;;;;;en
3225;8;09-APR-10 13:59:56;;unknown;;;;;;;;;;;;;;;;;en
49945;6;21-APR-10 12:02:10;;TooFewText;;;;;;;;;;;;;;;;;en
49945;7;18-MAR-10 13:49:48;;;;OtherProblem;;;;;;;;;;;;;;;en
7954;8;13-APR-10 11:18:30;;TooFewText;;;;;;;;;;;;;;;;;en
63466;14;20-APR-10 15:48:19;;mixed;;;;;;;;;;;;;;;;;en
2766;6;12-APR-10 10:58:30;;;;OtherProblem;;;;;;;;;;;;;;;en
2766;8;14-APR-10 11:32:52;;;;OtherProblem;;;;;;;;;;;;;;;en
39461;12;14-APR-10 18:29:57;;;;OtherProblem;;;;;;;;;;;;;;;en
39461;8;02-APR-10 12:28:54;;;;OtherProblem;;;;;;;;;;;;;;;en
89329;7;31-MAR-10 15:41:26;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;News-Edit;NonCommercial;NonEducational;NonDiscussion;Personal-Leisure;NonMedia;NonDatabase;2;2;2;2;3;Sure;en
47708;8;14-APR-10 13:46:01;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;Commercial;NonEducational;NonDiscussion;Personal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
3075;14;22-APR-10 14:46:34;;TooFewText;;;;;;;;;;;;;;;;;en
3075;6;13-APR-10 16:27:45;;;;OtherProblem;;;;;;;;;;;;;;;en
41567;6;31-MAR-10 14:18:09;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;Commercial;NonEducational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
98619;8;15-APR-10 11:59:36;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
72806;8;15-APR-10 11:54:25;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
95059;8;18-MAR-10 11:54:05;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
33014;14;20-APR-10 17:03:56;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
88495;14;14-APR-10 16:31:39;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
88495;6;19-APR-10 11:19:46;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
88954;12;19-APR-10 15:44:56;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
88954;8;15-APR-10 14:55:43;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
38386;14;15-APR-10 12:39:07;;TooFewText;;;;;;;;;;;;;;;;;en
13482;8;31-MAR-10 14:27:47;;;;OtherProblem;;;;;;;;;;;;;;;en
24046;14;20-APR-10 16:46:50;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
53170;7;01-APR-10 09:32:44;;;;OtherProblem;;;;;;;;;;;;;;;en
15634;8;15-APR-10 14:54:20;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
39490;14;15-APR-10 13:22:04;;unknown;;;;;;;;;;;;;;;;;en
58828;6;16-APR-10 18:25:54;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
55836;12;07-APR-10 10:54:51;;;;OtherProblem;;;;;;;;;;;;;;;en
58342;8;14-APR-10 13:56:22;;mixed;;;;;;;;;;;;;;;;;en
17999;12;15-APR-10 09:36:25;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
38091;14;16-APR-10 14:10:46;;fr;;;;;;;;;;;;;;;;;en
89469;14;15-APR-10 12:47:30;HTNormal;en;NonAdult;NoOtherProblem;NonSpam;NonNews-Edit;NonCommercial;Educational;NonDiscussion;NonPersonal-Leisure;NonMedia;NonDatabase;2;2;3;2;3;Sure;en
